Day,Publisher ID,Site ID,Section ID,Ads Requested,Ads Returned,CTR,Clicks,Conversions,Fill Rate,Impressions,Publisher Page Views,Publisher Revenue,Publisher Revenue USD,Publisher eCPM,Revenue,Revenue USD,Section Page Views,Video 100% Complete,Video 100% Rate,Video 25% Complete,Video 25% Rate,Video 50% Complete,Video 50% Rate,Video 75% Complete,Video 75% Rate,Video Start Rate,Video Starts,Video View Rate,Video Views,eCPM
2018-05-01,1511210,83118,5528019,162984410,1466331,0.0191653436,169,0,0.0089967562,8818,0,0.0,0.0,0.0,8.93691,14.669603,16298441,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.0134849172
2018-04-29,1117031,40837,5475569,162629250,45745811,0.0159481803,32096,0,0.2812889502,2012518,0,1416.477374,1416.477374,0.7038333938,2631.670432,2631.670432,32525850,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3076506307
2018-04-28,1511210,83118,5528019,162449400,1339009,0.0189914199,560,0,0.008242622,29487,0,0.0,0.0,0.0,30.04164,37.913355,16244940,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.0188096449
2018-04-30,1117031,40837,5475569,161526000,42898045,0.0157609951,34310,0,0.2655798138,2176893,0,1443.44721,1443.44721,0.6630767842,2676.204923,2676.204923,32305200,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.22936907
2018-04-27,1511210,83118,5528019,161324660,1347789,0.0178288214,652,0,0.0083545132,36570,0,0.0,0.0,0.0,32.47582,51.061471,16132466,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.8880453924
2018-05-03,1117031,40837,5475569,159738310,40126838,0.0159920837,31902,0,0.2512035967,1994862,0,1344.022121,1344.022121,0.6737419034,2506.452229,2506.452229,31947662,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.2564539447
2018-05-03,1511210,83118,5528019,159655010,2136510,0.0244010648,55,0,0.0133820417,2254,0,0.0,0.0,0.0,3.37727,2.416063,15965501,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4983451642
2018-05-02,1117031,40837,5475569,158967775,40357129,0.0157031131,32457,0,0.2538698739,2066915,0,1495.541362,1495.541362,0.723562102,2776.116788,2776.116788,31793555,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3431209256
2018-05-02,1511210,109220,5553189,156628010,3994858,0.0150132159,1278,0,0.0255053869,85125,0,0.0,0.0,0.0,48.6178,49.886082,15662801,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5711342144
2018-04-30,1511210,109220,5553189,155573960,3275684,0.0169997438,1327,0,0.0210554774,78060,0,0.0,0.0,0.0,27.56815,27.372923,15557396,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.3531661542
